pilot_id,question,context,gold_answers,prediction,human_label,human_notes
53,ג'ונתן בלו עיצב את המשחק כמעין ביקורת אישית כלפי מה?,,כלפי טרנדים הקיימים בקרב מפתחי משחקים. ,ג'ונתן בלו עשה את המשחק כמו בקרת אישית כלפי טרנדים מסוימים בקרב מפתחי משחקים.,CORRECT,
54,איך תיאר בני גנץ את תהליך ההצבעה?,,ליך שדגל שחור של פגיעה בסדרי שלטון מתנוסס מעליו,"ביני ג'אנץ תparalleled את תהליך ההצבעה כ""הילך של דגל שחור שנפגע בסדרי שלטון מטוסס מעליה.""",INCORRECT,
55,איך קראו לטלנובלה שבה השתתפה?,," ""Rebelde""",Rebelde,CORRECT,
56,מה שמו של הביוגרף של ברנדג'?,,אלן גוטמן,אֵלֶן גּוּטְמָן,CORRECT,
57,מי שר את t's a long way to the top if you want to rock and roll,,AC/DC | AC/DC | Acdc | איי.סי/די.סי | A.c.d.c | Ac dc | A c d c | איי.סי.די.סי | איי סי/די סי | איי סי די סי,David Bowie,INCORRECT,
58,i left my heart in san francisco מי שר את,,טוני בנט,"טוני בנט שר את ""I Left My Heart in San Francisco"".",CORRECT,
59,מי גילם את התפקיד הראשי בחוש השישי,,היילי ג'ואל אוסמנט | היילי אוסמנט | היילי ג'ואל אוזמנט | היילי אוזמנט | ברוס ויליס,"Türkiye'li oyuncu Mustafa Şatilcigil Gilmelidik. Ancak dikkat edilmesi gereken bir nokta burada var. ""חש השישי"" (Sixth Sense) adlı filmin orijinal versiyonunda briliant oyuncu Jodie Foster'in oynadığı rol, orijinal hikayen",INCORRECT,
60,מי שיחק את הילדה עם התסמונת דאון באיש משפחה,,אנדראה פאי פרידמן,האדם ששיחק עם הילדה עם תסמונת דאון היה בן משפחה.,INCORRECT,
61,באיזה חלק בניו יורק נמצא ה time square,,מידטאון מנהטן,"בחלק המרכז של ניו יורק, בסיטי הילס.",INCORRECT,
62,היכן צולם הסרט the lake house,,"שיקגו | ארצות הברית | אמריקה | ארה""ב | ארצות-הברית | USA | ארצות הברית של אמריקה | המטרופולין של שיקגו | מטרופולין שיקגו | אמריקה הצפונית",ארצות הברית-Israel,INCORRECT,
63,i'm on the edge of glory מי שר את,,ליידי גאגא | סטפני גרמנוטה | ליידי גגה | גאגא | ליידי גגא | סטפני ג'ואן אנג'לינה גרמנוטה | ליידי גהגה | Lady Gaga,Lady Gaga,CORRECT,
64,מי היה הנשיא בזמן מתקפת פרל הארבור,,"פרנקלין דלאנו רוזוולט | רוזוועלט, פראנקלין ד.",פרנקלין דלאנו רוזוולט,CORRECT,
65,מה שמו של ההר הגבוה ביותר בבריטניה,,סקייפל פייק | בן נוויס,בן נוויס,CORRECT,
66,מי שרוב הסופרבול מנצח AFC או NFC,,National Football Conference | ליגת הפוטבול הלאומית | NFC | ה- nfc / nfl,הסופרבול מנצח את ה-NFC.,CORRECT,
67,מי דחה את תפקידה של אישה יפה,,מולי רינגוולד | קארן אלן | אמילי לויד,ג'ון סטיוארט מיל,INCORRECT,
68,שם המחזאי של רומאו ויוליה,,"ויליאם שייקספיר | שייקספיר, וו., | שעקספער",ויליאם שייקספיר,CORRECT,
69,מי היה נשיא בזמן מלחמת העולם השנייה,,"פרנקלין דלאנו רוזוולט | רוזוועלט, פראנקלין ד.",פרנץ פון פרוסדוקו,INCORRECT,
70,מי המנהל של טקסס ריינג'רס,,כריס וודוורד,ג'רי ג'ונס,INCORRECT,
71,איזה יום הוא היום הראשון בשבוע,,יום ראשון | יום שני,יום ראשון,CORRECT,
72,fried green tomatoes-של מי הגברת הזקנה מ,,ninny threadgoode,של נאני,INCORRECT,
73,on the wings of a snow white dove מי שר את,,פרלין האסקי,השיר נכתב על ידי סטיבן סונדהיים.,INCORRECT,
74,מי הוא השופט הראשי של ארצות הברית עכשיו ב2017,,ג'ון רוברטס,ג'ון רוברטס,CORRECT,
75,מי שר את killing me softly with his words,,רוברטה פלאק | רוברטה פלאק,רוברטה פלאק,CORRECT,
76,מי כתב את השיר i don't want to miss a thing,,אירוסמית' | ארוסמית | Aerosmith | אירוסמית | ארוסמית',Aerosmith,CORRECT,
77,מדינה שרוסיה הייתה בעבר חלק ממנה,,ברית המועצות,ברית המועצות,CORRECT,
78,מי שר את השיר bad to the bone,,ג'ורג' ת'ורוגוד,ג'ורג' ת'ורוגוד,CORRECT,
79,"מי גילם את חלקו של הדוד נורי בגרסת הקולנוע של אופרת הרוק ""טומי""",,קית' מון | קית מון,"בגרסת הקולנוע של אופרת הרוק ""טומי"", הדוד נורי הופך לרגל תיאטרון וגילם אותו השחקן ג'ון סמית'.",INCORRECT,
80,מה היה שם הקוד מבצע ה- iaf בשנת 1999,,מבצע צפת סגר | מבצע ים לבן,IFA World Cup,INCORRECT,
81,מי היה הזמר המקורי של knocking on heavens door,,בוב דילן | Bob Dylan,בוב דילן,CORRECT,
82,מה הוא רכס ההרים הגבה ביותר בארצות הברית,,הר דנאלי | רכס אלסקה,רכס האפיפיורIDES,INCORRECT,
83,איזה פסל יש בראש הבית הלבן,,פסל החופש,פסל דוב לבן,INCORRECT,
84,back in the high life again מי שר את,,סטיב וינווד,השיר נכתב ובוצע על ידי טוני בנט.,INCORRECT,
